week_sort,value,type,Season,Age Group
År 1 uge 53,38.0,cases,2015/2016,01. 0-5 måneder
År 1 uge 53,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 01,29.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 01,60.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 01,42.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 01,56.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 01,151.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 01,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 01,6.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 01,47.0,cases,2022/2023,01. 0-5 måneder
År 2 uge 02,29.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 02,50.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 02,37.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 02,35.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 02,104.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 02,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 02,2.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 02,14.0,cases,2022/2023,01. 0-5 måneder
År 2 uge 03,53.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 03,72.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 03,84.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 03,55.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 03,73.0,cases,2019/2020,01. 0-5 måneder
År 2 uge 03,0.0,cases,2020/2021,01. 0-5 måneder
År 2 uge 03,2.0,cases,2021/2022,01. 0-5 måneder
År 2 uge 03,17.0,cases,2022/2023,01. 0-5 måneder
År 2 uge 04,69.0,cases,2015/2016,01. 0-5 måneder
År 2 uge 04,84.0,cases,2016/2017,01. 0-5 måneder
År 2 uge 04,118.0,cases,2017/2018,01. 0-5 måneder
År 2 uge 04,92.0,cases,2018/2019,01. 0-5 måneder
År 2 uge 04,76.0,cases,2019/2020,01. 0-5 måneder
